Frequency,Contrast,Effort
50,1.1959,-6.1071
100,3.9664,-5.0872
150,6.9955,-5.4299
200,9.6724,-6.2136
250,11.8610,-7.0346
300,13.6026,-7.7565
350,14.9919,-8.3416
400,16.1352,-8.7875
450,17.1383,-9.1047
500,18.1044,-9.3095
550,19.1380,-9.4208
600,20.3517,-9.4591
650,21.8788,-9.4458
700,23.8937,-9.4021
750,26.6413,-9.3470
800,30.3483,-9.2953
850,33.5642,-9.2563
900,31.6769,-9.2332
950,28.3299,-9.2246
1000,25.9441,-9.2255
1050,24.4175,-9.2300
1100,23.5357,-9.2323
1150,23.1740,-9.2288
1200,23.2727,-9.2176
1250,23.8164,-9.1991
1300,24.8257,-9.1750
1350,26.3587,-9.1477
1400,28.5123,-9.1192
1450,31.3603,-9.0908
1500,34.3809,-9.0630
1550,34.9614,-9.0355
1600,32.6770,-9.0076
1650,30.3185,-8.9787
1700,28.6323,-8.9485
1750,27.5691,-8.9171
1800,27.0258,-8.8849
1850,26.9351,-8.8524
1900,27.2601,-8.8202
1950,27.9830,-8.7886
2000,29.0904,-8.7574
2050,30.5436,-8.7260
2100,32.1995,-8.6938
2150,33.6479,-8.6599
2200,34.2150,-8.6238
2250,33.6784,-8.5855
2300,32.6044,-8.5452
2350,31.5506,-8.5037
2400,30.7467,-8.4618
2450,30.2448,-8.4205
2500,30.0357,-8.3804
2550,30.0910,-8.3415
2600,30.3731,-8.3037
2650,30.8355,-8.2664
2700,31.4199,-8.2286
2750,32.0532,-8.1896
2800,32.6502,-8.1490
2850,33.1240,-8.1067
2900,33.4060,-8.0629
2950,33.4667,-8.0181
3000,33.3225,-7.9732
3050,33.0243,-7.9287
3100,32.6389,-7.8851
3150,32.2337,-7.8426
3200,31.8692,-7.8009
3250,31.5961,-7.7596
3300,31.4557,-7.7182
3350,31.4804,-7.6763
3400,31.6929,-7.6337
3450,32.1017,-7.5903
3500,32.6879,-7.5464
3550,33.3782,-7.5023
3600,34.0097,-7.4584
3650,34.3377,-7.4150
3700,34.1753,-7.3722
3750,33.5733,-7.3299
3800,32.7704,-7.2879
3850,31.9990,-7.2461
3900,31.4021,-7.2042
3950,31.0526,-7.1624
4000,30.9864,-7.1206
4050,31.2183,-7.0792
4100,31.7362,-7.0383
4150,32.4720,-6.9980
4200,33.2476,-6.9583
4250,33.7461,-6.9190
4300,33.6657,-6.8796
4350,33.0178,-6.8400
4400,32.1006,-6.8003
4450,31.2028,-6.7607
4500,30.4807,-6.7218
4550,29.9857,-6.6845
4600,29.6867,-6.6490
4650,29.4575,-6.6150
4700,29.0868,-6.5808
4750,28.4090,-6.5431
4800,27.4657,-6.4976
4850,26.4581,-6.4397
4900,25.5737,-6.3661
4950,24.9108,-6.2745
5000,24.4938,-6.1650
5050,24.3015,-6.0392
5100,24.2876,-5.9004
5150,24.3930,-5.7528
5200,24.5559,-5.6004
5250,24.7188,-5.4467
5300,24.8335,-5.2939
5350,24.8633,-5.1428
5400,24.7841,-4.9932
5450,24.5832,-4.8442
5500,24.2562,-4.6943
5550,23.8029,-4.5420
5600,23.2206,-4.3856
5650,22.4991,-4.2235
5700,21.6192,-4.0547
5750,20.5564,-3.8790
5800,19.2901,-3.6987
5850,17.8106,-3.5203
5900,16.1137,-3.3583
5950,14.1650,-3.2430
6000,11.7886,-3.2374
6050,8.4484,-3.4739
6100,3.8640,-4.0728
6150,0.1176,-4.6073
6200,-1.6308,-4.7631
6250,-2.2405,-4.7225
6300,-2.2852,-4.5581
6350,-1.8491,-4.1583
6400,-0.5586,-3.4086
6450,1.1134,-3.0763
6500,2.4857,-3.1626
6550,3.6868,-3.3551
6600,4.7944,-3.5645
6650,5.8352,-3.7648
6700,6.8210,-3.9479
6750,7.7559,-4.1120
6800,8.6377,-4.2580
6850,9.4586,-4.3874
6900,10.2082,-4.5019
6950,10.8785,-4.6033
7000,11.4697,-4.6928
7050,11.9961,-4.7717
7100,12.4894,-4.8412
7150,12.9962,-4.9019
7200,13.5703,-4.9544
7250,14.2604,-4.9983
7300,15.0944,-5.0329
7350,16.0634,-5.0572
7400,17.1055,-5.0702
7450,18.0955,-5.0719
7500,18.8659,-5.0633
7550,19.2898,-5.0463
7600,19.3784,-5.0238
7650,19.2703,-4.9986
7700,19.1250,-4.9734
7750,19.0451,-4.9506
7800,19.0648,-4.9320
7850,19.1723,-4.9189
7900,19.3401,-4.9119
7950,19.5489,-4.9112
