Frequency,Contrast,Effort
50,1.1906,-6.1212
100,3.9423,-5.1119
150,6.9382,-5.4586
200,9.5764,-6.2411
250,11.7273,-7.0580
300,13.4348,-7.7739
350,14.7928,-8.3505
400,15.9036,-8.7839
450,16.8646,-9.0823
500,17.7637,-9.2589
550,18.6753,-9.3302
600,19.6529,-9.3155
650,20.7156,-9.2372
700,21.8224,-9.1182
750,22.8460,-8.9790
800,23.5885,-8.8344
850,23.9033,-8.6925
900,23.8340,-8.5548
950,23.5713,-8.4191
1000,23.2930,-8.2817
1050,23.0824,-8.1400
1100,22.9331,-7.9940
1150,22.7821,-7.8457
1200,22.5534,-7.6981
1250,22.2075,-7.5541
1300,21.7712,-7.4151
1350,21.3226,-7.2804
1400,20.9541,-7.1482
1450,20.7433,-7.0160
1500,20.7449,-6.8821
1550,20.9915,-6.7464
1600,21.4937,-6.6106
1650,22.2309,-6.4777
1700,23.1240,-6.3513
1750,23.9906,-6.2342
1800,24.5354,-6.1278
1850,24.5098,-6.0319
1900,23.9587,-5.9450
1950,23.1683,-5.8648
2000,22.4070,-5.7891
2050,21.8239,-5.7163
2100,21.4797,-5.6459
2150,21.3876,-5.5783
2200,21.5352,-5.5147
2250,21.8896,-5.4562
2300,22.3930,-5.4034
2350,22.9570,-5.3558
2400,23.4630,-5.3122
2450,23.7893,-5.2703
2500,23.8649,-5.2282
2550,23.7090,-5.1844
2600,23.4097,-5.1382
2650,23.0683,-5.0902
2700,22.7589,-5.0418
2750,22.5207,-4.9946
2800,22.3643,-4.9500
2850,22.2816,-4.9084
2900,22.2544,-4.8690
2950,22.2603,-4.8303
3000,22.2774,-4.7901
3050,22.2860,-4.7466
3100,22.2699,-4.6984
3150,22.2161,-4.6456
3200,22.1162,-4.5891
3250,21.9679,-4.5303
3300,21.7778,-4.4708
3350,21.5618,-4.4114
3400,21.3433,-4.3519
3450,21.1475,-4.2913
3500,20.9961,-4.2278
3550,20.9005,-4.1600
3600,20.8572,-4.0874
3650,20.8435,-4.0109
3700,20.8177,-3.9329
3750,20.7265,-3.8565
3800,20.5244,-3.7847
3850,20.1964,-3.7194
3900,19.7696,-3.6609
3950,19.3024,-3.6073
4000,18.8631,-3.5552
4050,18.5120,-3.5007
4100,18.2930,-3.4407
4150,18.2302,-3.3739
4200,18.3235,-3.3021
4250,18.5401,-3.2297
4300,18.8010,-3.1628
4350,18.9761,-3.1067
4400,18.9132,-3.0647
4450,18.5141,-3.0370
4500,17.7995,-3.0217
4550,16.8828,-3.0156
4600,15.8926,-3.0162
4650,14.9255,-3.0226
4700,14.0430,-3.0354
4750,13.2850,-3.0565
4800,12.6816,-3.0869
4850,12.2597,-3.1254
4900,12.0448,-3.1668
4950,12.0584,-3.2022
5000,12.3121,-3.2214
5050,12.7953,-3.2160
5100,13.4504,-3.1830
5150,14.1295,-3.1247
5200,14.5557,-3.0474
5250,14.4059,-2.9604
5300,13.5824,-2.8742
5350,12.3182,-2.8012
5400,10.9334,-2.7539
5450,9.6471,-2.7429
5500,8.5749,-2.7723
5550,7.7709,-2.8352
5600,7.2509,-2.9138
5650,7.0005,-2.9850
5700,6.9794,-3.0296
5750,7.1258,-3.0376
5800,7.3590,-3.0067
5850,7.5792,-2.9393
5900,7.6704,-2.8408
5950,7.5207,-2.7189
6000,7.0673,-2.5845
6050,6.3422,-2.4504
6100,5.4726,-2.3314
6150,4.6299,-2.2437
6200,3.9653,-2.2059
6250,3.5594,-2.2334
6300,3.3977,-2.3279
6350,3.3852,-2.4721
6400,3.3978,-2.6336
6450,3.3360,-2.7764
6500,3.1488,-2.8695
6550,2.8297,-2.8925
6600,2.4012,-2.8383
6650,1.9047,-2.7149
6700,1.3958,-2.5468
6750,0.9422,-2.3743
6800,0.6179,-2.2465
6850,0.4922,-2.2062
6900,0.6140,-2.2717
6950,0.9970,-2.4307
7000,1.6130,-2.6494
7050,2.3947,-2.8880
7100,3.2461,-3.1141
7150,4.0556,-3.3072
7200,4.7163,-3.4583
7250,5.1521,-3.5669
7300,5.3407,-3.6366
7350,5.3142,-3.6722
7400,5.1356,-3.6775
7450,4.8713,-3.6551
7500,4.5746,-3.6068
7550,4.2807,-3.5352
7600,4.0076,-3.4462
7650,3.7583,-3.3502
7700,3.5244,-3.2621
7750,3.2917,-3.1984
7800,3.0496,-3.1731
7850,2.8010,-3.1928
7900,2.5668,-3.2557
7950,2.3840,-3.3506
