Frequency,Contrast,Effort
50,1.9451,-6.1212
100,5.0916,-5.1119
150,8.6187,-5.4586
200,11.8609,-6.2411
250,14.6114,-7.0580
300,16.8179,-7.7739
350,18.4873,-8.3505
400,19.6798,-8.7839
450,20.5081,-9.0823
500,21.1119,-9.2589
550,21.6251,-9.3302
600,22.1512,-9.3155
650,22.7499,-9.2372
700,23.4271,-9.1182
750,24.1248,-8.9790
800,24.7279,-8.8344
850,25.1124,-8.6925
900,25.2302,-8.5548
950,25.1463,-8.4191
1000,24.9814,-8.2817
1050,24.8302,-8.1400
1100,24.7240,-7.9940
1150,24.6340,-7.8457
1200,24.4961,-7.6981
1250,24.2526,-7.5541
1300,23.8938,-7.4151
1350,23.4697,-7.2804
1400,23.0648,-7.1482
1450,22.7631,-7.0160
1500,22.6282,-6.8821
1550,22.6986,-6.7464
1600,22.9866,-6.6106
1650,23.4730,-6.4777
1700,24.0919,-6.3513
1750,24.7107,-6.2342
1800,25.1346,-6.1278
1850,25.1918,-6.0319
1900,24.8665,-5.9450
1950,24.3114,-5.8648
2000,23.7209,-5.7891
2050,23.2347,-5.7163
2100,22.9241,-5.6459
2150,22.8111,-5.5783
2200,22.8837,-5.5147
2250,23.1023,-5.4562
2300,23.4020,-5.4034
2350,23.6988,-5.3558
2400,23.9085,-5.3122
2450,23.9774,-5.2703
2500,23.9050,-5.2282
2550,23.7370,-5.1844
2600,23.5350,-5.1382
2650,23.3483,-5.0902
2700,23.2014,-5.0418
2750,23.0937,-4.9946
2800,23.0073,-4.9500
2850,22.9186,-4.9084
2900,22.8101,-4.8690
2950,22.6785,-4.8303
3000,22.5344,-4.7901
3050,22.3957,-4.7466
3100,22.2772,-4.6984
3150,22.1825,-4.6456
3200,22.1006,-4.5891
3250,22.0082,-4.5303
3300,21.8789,-4.4708
3350,21.6959,-4.4114
3400,21.4626,-4.3519
3450,21.2031,-4.2913
3500,20.9539,-4.2278
3550,20.7498,-4.1600
3600,20.6131,-4.0874
3650,20.5447,-4.0109
3700,20.5205,-3.9329
3750,20.4914,-3.8565
3800,20.3950,-3.7847
3850,20.1801,-3.7194
3900,19.8336,-3.6609
3950,19.3916,-3.6073
4000,18.9224,-3.5552
4050,18.5000,-3.5007
4100,18.1839,-3.4407
4150,18.0099,-3.3739
4200,17.9840,-3.3021
4250,18.0748,-3.2297
4300,18.2040,-3.1628
4350,18.2461,-3.1067
4400,18.0602,-3.0647
4450,17.5588,-3.0370
4500,16.7587,-3.0217
4550,15.7564,-3.0156
4600,14.6620,-3.0162
4650,13.5597,-3.0226
4700,12.5049,-3.0354
4750,11.5347,-3.0565
4800,10.6779,-3.0869
4850,9.9600,-3.1254
4900,9.4030,-3.1668
4950,9.0227,-3.2022
5000,8.8239,-3.2214
5050,8.7963,-3.2160
5100,8.9108,-3.1830
5150,9.1153,-3.1247
5200,9.3317,-3.0474
5250,9.4579,-2.9604
5300,9.3862,-2.8742
5350,9.0450,-2.8012
5400,8.4421,-2.7539
5450,7.6686,-2.7429
5500,6.8555,-2.7723
5550,6.1237,-2.8352
5600,5.5529,-2.9138
5650,5.1736,-2.9850
5700,4.9725,-3.0296
5750,4.9059,-3.0376
5800,4.9146,-3.0067
5850,4.9365,-2.9393
5900,4.9151,-2.8408
5950,4.8085,-2.7189
6000,4.5994,-2.5845
6050,4.3056,-2.4504
6100,3.9824,-2.3314
6150,3.7073,-2.2437
6200,3.5451,-2.2059
6250,3.5131,-2.2334
6300,3.5736,-2.3279
6350,3.6597,-2.4721
6400,3.7089,-2.6336
6450,3.6829,-2.7764
6500,3.5696,-2.8695
6550,3.3779,-2.8925
6600,3.1334,-2.8383
6650,2.8752,-2.7149
6700,2.6547,-2.5468
6750,2.5320,-2.3743
6800,2.5650,-2.2465
6850,2.7929,-2.2062
6900,3.2205,-2.2717
6950,3.8156,-2.4307
7000,4.5221,-2.6494
7050,5.2757,-2.8880
7100,6.0138,-3.1141
7150,6.6783,-3.3072
7200,7.2168,-3.4583
7250,7.5882,-3.5669
7300,7.7726,-3.6366
7350,7.7785,-3.6722
7400,7.6425,-3.6775
7450,7.4190,-3.6551
7500,7.1688,-3.6068
7550,6.9483,-3.5352
7600,6.8045,-3.4462
7650,6.7699,-3.3502
7700,6.8582,-3.2621
7750,7.0586,-3.1984
7800,7.3321,-3.1731
7850,7.6148,-3.1928
7900,7.8341,-3.2557
7950,7.9370,-3.3506
